#Genus	R1_A_D1	R1_A_D2	R1_B_D1	R1_B_D2	R1_C_D1	R1_C_D2	R2A_A_D1	R2A_A_D2	R2A_B_D1	R2A_B_D2	R2A_C_D1	R2A_C_D2	R2_A_D1	R2_A_D2	R2_B_D1	R2_B_D2	R2_C_D1	R2_C_D2	SF2_A_D1	SF2_A_D2	SF2_B_D1	SF2_B_D2	SF2_C_D1	SF2_C_D2
Saccharophagus	0	0	0	0	0	0	66	11	46	0	3	0	0	0	0	0	0	0	26	0	0	0	0	0
Saccharospirillum	44	93	37	62	121	55	26	12	10	3	5	2	101	65	169	115	133	160	1	0	0	0	0	2
Salegentibacter	1572	2991	967	827	694	1777	51	14	23	3	11	3	272	194	598	324	300	388	1	0	21	19	47	101
Salinibacter	1261	963	1229	735	2906	2170	0	3	6	1	3	0	264	828	861	348	655	400	0	0	328	250	29	44
Salinimicrobium	49	49	34	41	14	137	81	243	12	1	6	0	51	628	152	220	36	207	22	30	37	28	318	231
Salinisphaera	0	0	0	0	0	0	0	0	0	0	0	0	1	1	2	0	0	0	0	35	67	55	4	307
SalinisphaeraceaeFA	0	0	0	0	0	0	0	4	0	0	0	1	0	1	0	1	0	1	0	28	17	15	18	1220
SalinisphaeralesOR	0	0	0	1	0	0	0	0	0	0	0	0	595	10	0	14	0	31	0	0	0	0	0	0
Salinivibrio	10	9	30	8	36	17	5	2	4	4	3	0	9	5	5	6	8	20	0	0	0	0	3	1
Salisaeta	262	184	368	99	538	372	239	1124	901	19	441	18	209	282	409	247	168	241	0	1	72	67	1	13
SaprospiraceaeFA	24363	25173	15165	21403	20698	19853	5151	2868	5385	658	1942	152	3998	2268	8836	3436	16283	3196	1195	856	408	380	2120	207
Sediment-1OR	1	0	0	0	0	0	134	393	717	496	480	88	0	0	0	0	1	1	196	167	128	165	358	72
ShewanellaceaeFA	0	0	0	0	0	0	0	0	0	21	0	1	0	0	0	0	0	0	16	13	75	48	83	17
Simidua	2	0	6	10	0	0	30	91	16	3	68	5	3	4	1	1	4	2	0	0	0	0	0	0
SimkaniaceaeFA	1	2	55	138	5	8	6	0	2	0	3	1	19	6	54	9	92	23	10	1	40	41	20	2
SinobacteraceaeFA	3731	3226	2999	4049	3151	2670	8169	5223	8229	1374	3005	1019	2324	2561	1655	2360	2171	2942	13395	13810	8727	8606	17198	2995
SolirubrobacteralesOR	1	1	2	0	3	3	1748	1886	746	589	1436	599	2	14	8	8	0	0	62	203	82	72	151	65
SphingobacterialesOR	4	14	35	30	1	1	130	3344	190	644	471	778	22	20	115	6	147	49	136	123	43	45	164	21
SphingomonadaceaeFA	0	0	0	0	0	0	109	111	232	25	64	2	0	2	0	0	0	1	16	12	14	17	40	4
SphingomonadalesOR	1	0	3	1	1	1	1075	245	1189	306	458	115	0	6	1	1	0	2	101	153	165	158	189	36
Spirochaeta	3575	4334	3083	4878	4334	3456	48	19	56	981	238	396	6672	5823	5046	4654	6613	7138	587	513	1426	1233	2104	1335
SpirochaetaceaeFA	251	319	294	239	333	196	131	0	52	240	50	1735	231	378	518	225	586	277	21	5	298	211	100	210
SpirochaetesPH	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	28	23	20	18	49	13
Sporanaerobacter	10	40	801	146	24	102	0	0	0	0	0	0	13	33	50	40	3	11	1	2	0	1	0	1
SporolactobacillaceaeFA	0	0	0	0	0	0	2	3	12	38	65	132	1	7	5	4	0	0	0	9	5	2	2	193
StramenopilesOR	31	30	164	35	36	405	402	88	265	107	37	2	44575	8890	2243	4656	7453	6261	1904	672	862	795	3733	334
StreptophytaOR	0	0	0	0	4	1	95	244	410	42	422	572	1	0	0	0	0	0	3	0	1	0	14	0
Sulfitobacter	2	1	5	1	1	6	832	563	803	463	1259	230	7	271	7	17	6	28	636	1197	829	818	1365	463
Sulfurimonas	36	40	44	31	13	28	79	4	1	13	35	992	13	71	32	14	47	16	3010	622	3196	3215	8273	686
Sulfurospirillum	126	204	124	95	74	53	11	0	2	0	0	0	21	27	71	36	184	30	0	0	0	0	0	0
Sva0725OR	4	4	6	6	18	14	343	1175	1570	1799	5732	1426	5	8	18	31	50	24	355	580	221	251	822	172
SymbiobacteriaceaeFA	61	42	179	155	127	151	33	207	71	197	161	95	38	126	150	84	98	72	133	61	175	165	337	60
SynergistalesOR	143	121	89	177	67	200	0	0	1	0	0	0	33	20	11	124	5	11	0	1	0	0	0	0
SyntrophaceaeFA	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	16	51	35	104	101
Syntrophobacter	2	4	8	6	13	5	2	5	49	3964	32	277	4	4	10	2	7	1	12	208	143	134	461	311
SyntrophobacteraceaeFA	0	0	1	2	0	3	669	1467	1595	2767	1864	596	8	378	17	1	1	10	3363	4625	2112	2202	4807	1375
SyntrophobacteralesOR	15	3	10	18	22	32	0	0	5	83	1	2	14	5	2	16	0	0	0	2	0	1	4	13
SyntrophomonadaceaeFA	2	4	5	9	1	4	0	0	0	0	0	0	12	41	29	17	7	24	0	0	2	0	0	1
Syntrophomonas	17	47	42	136	2	2	0	0	0	0	0	0	0	2	0	15	0	0	0	0	0	0	1	0
T78	3	1	6	4	2	1	3	0	0	124	11	42	1	81	11	5	5	7	4	14	95	87	30	71
TG3-2CL	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	63	61	19	25
TK17CL	0	0	0	0	0	0	94	299	259	147	639	152	0	1	0	0	0	0	1	5	3	1	7	1
TM3	0	2	4	2	1	4	16	1	9	26	8	1	1	20	1	6	1	1	276	226	363	303	749	298
TTA_B6FA	15	25	26	23	1	1	0	0	0	0	0	0	0	1	0	32	0	5	0	0	0	0	3	0
Tenacibaculum	1	0	0	0	1	0	26	116	55	18	40	2	1	2	0	0	0	0	6	0	0	1	18	8
TenericutesPH	216	172	33	62	168	61	0	0	0	0	0	0	37	30	18	79	8	3	0	1	0	0	0	0
Teredinibacter	2	6	2	3	16	4	87	18	0	0	0	1	1	1	7	7	6	3	0	0	1	0	2	0
Thalassospira	0	0	0	0	0	0	21	108	39	28	7	1	0	0	0	0	0	0	0	0	3	0	4	0
ThermoanaerobacteralesOR	0	0	0	0	0	0	0	23	1	706	1	9	0	1	1	0	0	1	0	54	19	16	29	526
Thermodesulforhabdus	0	1	0	0	0	0	72	19	65	27	59	104	0	0	0	0	0	0	561	156	176	179	673	64
ThermodesulfovibrionaceaeFA	0	0	0	0	0	0	61	3	8	9	4	0	0	0	0	0	0	0	86	87	12	20	183	12
ThermomicrobiaCL	0	0	0	0	0	0	0	7	7	272	59	128	0	0	0	0	0	0	0	0	0	0	1	0
ThermomicrobialesOR	1	1	7	2	1	35	1024	595	769	116	357	102	5	1	6	14	2	15	7	23	1	1	15	3
ThermoplasmatalesOR	0	0	0	0	0	0	0	185	5	2351	13	130	0	0	0	8	0	0	0	4	0	0	6	0
ThermotogaceaeFA	265	174	292	563	510	131	0	1	0	0	0	1	584	366	401	250	366	3669	1	0	1	0	0	1
ThermotogalesOR	18	20	20	26	17	9	0	2	2	57	15	63	7	5	10	33	10	10	0	6	1	0	15	13
ThermovirgaceaeFA	6	10	7	14	24	15	0	0	0	0	0	0	61	19	22	8	37	27	0	0	0	0	0	0
Thioalkalimicrobium	10	18	229	14	41	13	0	0	0	1	0	0	27	14	22	11	74	49	0	0	1	0	0	0
Thiohalospira	1901	83	35	77	29	35	259	644	425	32	273	53	7	122	63	16	30	15	58	34	65	43	76	7
Thiomicrospira	121	167	388	231	92	172	1	1	1	0	0	2	90	129	191	72	516	100	1	1	8	8	27	1
Thiorhodospira	0	0	0	0	0	0	81	117	159	7	18	2	0	0	0	0	0	0	0	0	0	0	0	0
Thiothrix	0	1	10	2	2	3	0	0	0	0	1	0	69	14	10	18	18	13	0	0	0	0	1	0
ThiotrichalesOR	0	0	0	0	0	0	28	105	24	23	197	4	0	0	0	0	0	0	0	0	0	0	0	0
Tindallia	51	40	75	25	18	53	1	1	2	2	1	1	11	78	22	35	33	43	29	7	33	30	107	20
TrebouxiophyceaeFA	0	0	0	0	0	0	0	1	0	0	0	0	74	8	0	14	0	5	0	0	0	0	0	0
Ucn15732CL	0	0	0	0	0	0	2	0	1	4	0	0	0	0	0	0	0	0	18	27	16	17	39	4
Ulr1583CL	0	0	0	0	0	0	0	0	0	4	6	97	0	0	0	0	0	0	0	0	2	1	1	2
Ulvibacter	0	0	0	0	0	1	680	136	199	74	13	0	2	4	0	0	1	1	623	414	302	293	571	99
VC12-cl04CL	37	51	156	11	20	14	0	0	0	0	0	0	9	3	19	6	20	2	0	0	0	0	0	0
VHS-B5-50CL	0	0	0	0	0	0	205	169	228	28	164	8	0	0	0	0	0	1	14	74	28	23	67	18
Verruco-5CL	43	25	79	19	117	56	11	0	13	51	0	6	153	494	330	93	234	220	622	220	288	277	626	179
VerrucomicrobiaPH	12	9	26	2	18	6	0	0	3	87	5	10	24	53	40	41	56	46	0	2	6	3	1	5
VerrucomicrobiaceaeFA	11	24	81	31	39	30	514	191	309	22	76	11	18	19	101	52	189	129	10	5	0	1	15	2
VerrucomicrobialesOR	0	0	1	0	0	0	267	810	559	975	866	1136	0	0	0	0	0	0	301	136	90	83	283	19
Verrucomicrobium	6	23	43	39	27	16	76	30	114	20	10	1	33	30	56	166	55	310	17	13	3	4	31	4
Vibrio	20	53	7	16	12	16	55	49	61	13	103	981	12	39	32	20	18	37	31	12	8	5	126	12
WM88CL	3	1	7	16	7	238	1	4	4	2	0	0	338	998	39	114	4	52	136	78	533	495	195	136
WPS-2PH	0	1	13	1	1	6	4	2	12	0	1	0	12	3	49	3	55	11	0	0	0	0	0	0
WS1PH	118	65	83	117	44	131	0	0	4	59	17	42	104	280	100	163	42	204	1	33	81	67	81	162
Waddlia	0	1	0	0	0	1	81	183	151	66	254	16	0	6	3	2	0	0	0	85	12	4	2	21
Winogradskyella	0	0	0	0	0	0	6	70	2	5	28	3	0	0	0	1	0	0	0	0	0	0	0	0
XanthomonadaceaeFA	0	1	0	0	0	1	4	3521	55	1773	3958	2346	3	15	14	40	0	2	8	143	16	15	30	6
XanthomonadalesOR	0	0	0	0	0	0	0	20	11	311	115	102	0	1	1	1	0	1	1	0	0	0	0	0
YS2OR	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	13	21	18	14	52
Z20OR	48	25	29	28	123	17	0	0	1	0	0	0	70	168	128	25	152	38	0	2	4	8	1	5
ZA3412cFA	0	0	0	0	1	0	0	768	8	70	73	991	0	0	0	0	0	0	30	53	39	38	69	170
ZB1OR	0	0	5	2	1	2	15	2	37	284	26	407	4	13	15	4	0	6	471	514	668	604	1305	813
ZB2PH	95	154	110	194	107	68	1	0	2	0	1	1	124	103	97	102	120	98	0	0	0	2	1	0
ZD0117	2	16	4	5	11	6	18	92	222	36	24	13	1	5	6	6	2	2	27	14	16	14	28	4
Zobellia	3	5	0	9	2	9	199	124	314	74	269	12	30	68	15	121	0	219	19	11	10	10	64	5
Zplanct13	621	395	478	509	701	94	0	1	0	0	0	0	250	284	218	113	185	110	0	0	6	1	1	1
envOPS12OR	0	0	0	0	0	0	401	179	628	221	317	526	0	0	0	0	0	0	521	257	289	301	674	45
koll11CL	0	0	6	4	2	4	0	0	0	1	0	0	28	117	48	31	65	20	0	0	0	0	0	1
koll13OR	2	2	2	0	2	12	1868	2193	2155	691	2606	302	7	4	5	8	0	3	452	843	132	144	769	115
kpj58rcFA	0	0	0	0	0	0	0	3	0	3	1	2	0	0	0	0	0	0	78	14	44	50	86	13
mle1-48OR	0	0	0	0	0	0	70	132	155	43	455	289	0	0	0	0	0	0	0	1	0	0	1	0
nsmpVI18	0	0	0	0	0	0	3	61	7	3	113	12	0	0	0	0	0	0	2	1	0	0	3	0
ntu14FA	5	2	16	10	10	16	0	1	5	0	1	0	43	65	45	75	11	26	5	3	0	1	10	1
pGrfC26OR	0	0	0	0	0	0	0	0	10	321	3	35	0	2	0	0	0	0	40	82	32	28	79	93
pMC2A209CL	77	23	152	176	42	90	1	2	0	1	0	0	359	409	79	170	14	52	64	30	231	163	94	41
pMC2A33FA	66	60	48	220	225	302	0	5	1	0	0	1	1223	2952	277	131	10	29	17	9	70	68	88	29
so4B24FA	1	0	0	0	0	0	1	0	12	19	0	0	0	0	0	0	0	0	257	223	259	252	1025	106
vadinHA49CL	0	0	0	0	0	0	32	127	81	19	9	2	0	0	0	0	0	0	85	79	45	57	160	26
wb1_H11OR	0	0	0	0	0	0	98	58	175	40	50	9	0	0	0	0	0	0	196	117	50	66	223	23
wb1_P06FA	0	0	0	1	0	0	20	96	96	32	488	89	0	0	0	0	0	0	14	28	18	18	48	4
za29	0	0	0	0	0	0	0	59	8	475	131	1344	0	0	1	1	1	0	9	120	18	30	122	174
